temperature,ka_mean,dataset,type
0.5,0.8517929903822018,manifestos,Filtered & Balanced
0.7,0.8634398224964184,manifestos,Filtered & Balanced
0.9,0.8460721508760518,manifestos,Filtered & Balanced
1.1,0.834960027448352,manifestos,Filtered & Balanced
1.3,0.821482797609433,manifestos,Filtered & Balanced
1.5,0.7968987695551576,manifestos,Filtered & Balanced
1.7,0.8288655102038408,manifestos,Filtered & Balanced
1.9,0.8107908799429994,manifestos,Filtered & Balanced
2.1,0.7797910494308434,manifestos,Filtered & Balanced
2.3,0.7749184381045752,manifestos,Filtered & Balanced
2.5,0.7759530517949461,manifestos,Filtered & Balanced
2.7,0.7935614629188655,manifestos,Filtered & Balanced
2.9,0.7273182223799427,manifestos,Filtered & Balanced
3.1,0.782526564344746,manifestos,Filtered & Balanced
3.3,0.6820060133149337,manifestos,Filtered & Balanced
3.5,0.7436249826637694,manifestos,Filtered & Balanced
3.7,0.8232578635573734,manifestos,Filtered & Balanced
3.9,0.7535681294528618,manifestos,Filtered & Balanced
4.1,0.7093002668525252,manifestos,Filtered & Balanced
4.3,0.755144676692429,manifestos,Filtered & Balanced
4.5,0.5858400136535813,manifestos,Filtered & Balanced
4.8,0.6996041105275177,manifestos,Filtered & Balanced
5.0,0.7706133553557094,manifestos,Filtered & Balanced
0.1,0.9414945063447849,mii_long,Filtered & Balanced
0.3,0.9563244612878152,mii_long,Filtered & Balanced
0.5,0.9633829517797204,mii_long,Filtered & Balanced
0.7,0.9491680500097208,mii_long,Filtered & Balanced
0.9,0.9643180818496618,mii_long,Filtered & Balanced
1.1,0.9483525986918233,mii_long,Filtered & Balanced
1.3,0.9443295887613022,mii_long,Filtered & Balanced
1.5,0.8963239491245383,mii_long,Filtered & Balanced
1.7,0.9316413700058259,mii_long,Filtered & Balanced
1.9,0.9169518204099633,mii_long,Filtered & Balanced
2.1,0.9605416650208687,mii_long,Filtered & Balanced
2.3,0.9571209754493029,mii_long,Filtered & Balanced
2.5,0.952788183618198,mii_long,Filtered & Balanced
2.7,0.9237816467725994,mii_long,Filtered & Balanced
2.9,0.9265710987154554,mii_long,Filtered & Balanced
3.1,0.9630614017114032,mii_long,Filtered & Balanced
3.3,0.9221818851802532,mii_long,Filtered & Balanced
3.5,0.9575497493543977,mii_long,Filtered & Balanced
3.7,0.9111758278099894,mii_long,Filtered & Balanced
3.9,0.9698217247097844,mii_long,Filtered & Balanced
4.1,0.8672742615976751,mii_long,Filtered & Balanced
4.3,0.7419862459215014,mii_long,Filtered & Balanced
4.5,0.9613202321345201,mii_long,Filtered & Balanced
4.8,0.9046832735736303,mii_long,Filtered & Balanced
5.0,0.9449675971799866,mii_long,Filtered & Balanced
0.1,0.9821709824713644,mii,Filtered & Balanced
0.3,0.9640203592712268,mii,Filtered & Balanced
0.5,0.9537028618936609,mii,Filtered & Balanced
0.7,0.9654624362174435,mii,Filtered & Balanced
0.9,0.9684995547640249,mii,Filtered & Balanced
1.1,0.9532169676725704,mii,Filtered & Balanced
1.3,0.9601682743912114,mii,Filtered & Balanced
1.5,0.9346355490946903,mii,Filtered & Balanced
1.7,0.9456097594583244,mii,Filtered & Balanced
1.9,0.965484348514666,mii,Filtered & Balanced
2.1,0.9391802318188329,mii,Filtered & Balanced
2.3,0.9471044034031664,mii,Filtered & Balanced
2.5,0.9430020353630507,mii,Filtered & Balanced
2.7,0.9743227436956386,mii,Filtered & Balanced
2.9,0.9751205435785588,mii,Filtered & Balanced
3.1,0.9793069247415244,mii,Filtered & Balanced
3.3,0.9894279103167637,mii,Filtered & Balanced
3.5,0.982765666580718,mii,Filtered & Balanced
3.7,0.9796804782075816,mii,Filtered & Balanced
3.9,0.9606090153858912,mii,Filtered & Balanced
4.1,0.9887039923270591,mii,Filtered & Balanced
4.3,0.8459632234302559,mii,Filtered & Balanced
4.5,0.9758699848698283,mii,Filtered & Balanced
4.8,0.9714065142485387,mii,Filtered & Balanced
5.0,1.0,mii,Filtered & Balanced
0.1,0.5564989678837007,news_short,Filtered & Balanced
0.3,0.5406073191416397,news_short,Filtered & Balanced
0.5,0.8631252049230469,news_short,Filtered & Balanced
0.7,0.7843515827173408,news_short,Filtered & Balanced
0.9,0.7836320048439709,news_short,Filtered & Balanced
1.1,0.7905601509637732,news_short,Filtered & Balanced
1.3,0.7768008217742621,news_short,Filtered & Balanced
1.5,0.6786442305461666,news_short,Filtered & Balanced
1.7,0.6825711120832341,news_short,Filtered & Balanced
1.9,0.7555112219451371,news_short,Filtered & Balanced
2.1,0.7296722540621599,news_short,Filtered & Balanced
2.3,0.48116540063419866,news_short,Filtered & Balanced
2.5,0.5377964335901535,news_short,Filtered & Balanced
2.7,0.7667967339133122,news_short,Filtered & Balanced
2.9,0.6973412510998236,news_short,Filtered & Balanced
3.1,0.49467668675248777,news_short,Filtered & Balanced
3.3,0.11025016099003504,news_short,Filtered & Balanced
3.5,0.6356387118067302,news_short,Filtered & Balanced
3.7,0.750258534714231,news_short,Filtered & Balanced
3.9,0.5804649351427458,news_short,Filtered & Balanced
4.1,0.6688178879017577,news_short,Filtered & Balanced
4.3,0.14761275120570216,news_short,Filtered & Balanced
4.5,0.4213441767960525,news_short,Filtered & Balanced
4.8,0.4650656041697987,news_short,Filtered & Balanced
5.0,0.8180338503617641,news_short,Filtered & Balanced
0.1,0.39400131818467155,news,Filtered & Balanced
0.3,0.38124931576003973,news,Filtered & Balanced
0.5,0.809618211864074,news,Filtered & Balanced
0.7,0.7307828069668472,news,Filtered & Balanced
0.9,0.8334342852241031,news,Filtered & Balanced
1.1,0.6316705596123167,news,Filtered & Balanced
1.3,0.7171827194290512,news,Filtered & Balanced
1.5,0.6317022147033139,news,Filtered & Balanced
1.7,0.7168313729624886,news,Filtered & Balanced
1.9,0.619553547444073,news,Filtered & Balanced
2.1,0.6422816860055106,news,Filtered & Balanced
2.3,0.6588136901342122,news,Filtered & Balanced
2.5,0.8121225087485118,news,Filtered & Balanced
2.7,0.642374913553766,news,Filtered & Balanced
2.9,0.7312956528993686,news,Filtered & Balanced
3.1,0.36610042093364537,news,Filtered & Balanced
3.3,0.683544170741684,news,Filtered & Balanced
3.5,0.6481564350445783,news,Filtered & Balanced
3.7,0.6045628906974047,news,Filtered & Balanced
3.9,0.6550014028198886,news,Filtered & Balanced
4.1,0.5095082694187726,news,Filtered & Balanced
4.3,0.6866920848059035,news,Filtered & Balanced
4.5,0.40819159065092414,news,Filtered & Balanced
4.8,0.22101214023098636,news,Filtered & Balanced
5.0,0.16011532990618493,news,Filtered & Balanced
0.1,0.7241186632715384,stance_long,Filtered & Balanced
0.3,0.8939230835928546,stance_long,Filtered & Balanced
0.5,0.8882521803370287,stance_long,Filtered & Balanced
0.7,0.9028637391779112,stance_long,Filtered & Balanced
0.9,0.9023152845678443,stance_long,Filtered & Balanced
1.1,0.7401420025125367,stance_long,Filtered & Balanced
1.3,0.6309903524543434,stance_long,Filtered & Balanced
1.5,0.6189491152142755,stance_long,Filtered & Balanced
1.7,0.5888087438714306,stance_long,Filtered & Balanced
1.9,0.4769149942704074,stance_long,Filtered & Balanced
2.1,0.43064997085648304,stance_long,Filtered & Balanced
2.3,0.6941354362156487,stance_long,Filtered & Balanced
2.5,0.6815903932667211,stance_long,Filtered & Balanced
2.7,0.35916852930845333,stance_long,Filtered & Balanced
2.9,0.5007416521459855,stance_long,Filtered & Balanced
3.1,0.5610670697802891,stance_long,Filtered & Balanced
3.3,0.6580396200648406,stance_long,Filtered & Balanced
3.5,0.41564061848781353,stance_long,Filtered & Balanced
3.7,0.5062837529642141,stance_long,Filtered & Balanced
3.9,0.35750879731597085,stance_long,Filtered & Balanced
4.1,0.5108281976744198,stance_long,Filtered & Balanced
4.3,0.55053883111037,stance_long,Filtered & Balanced
4.5,0.3924623306816326,stance_long,Filtered & Balanced
4.8,0.2711236047119947,stance_long,Filtered & Balanced
5.0,0.4907031982111566,stance_long,Filtered & Balanced
0.1,0.8085432784813421,stance,Filtered & Balanced
0.3,0.8725039336589128,stance,Filtered & Balanced
0.5,0.930468844126506,stance,Filtered & Balanced
0.7,0.919799158765225,stance,Filtered & Balanced
0.9,0.9150558497236633,stance,Filtered & Balanced
1.1,0.8659107543822648,stance,Filtered & Balanced
1.3,0.7678548959449125,stance,Filtered & Balanced
1.5,0.7020880463306496,stance,Filtered & Balanced
1.7,0.7068394574380419,stance,Filtered & Balanced
1.9,0.524019917806978,stance,Filtered & Balanced
2.1,0.4719949257826246,stance,Filtered & Balanced
2.3,0.8064541400232523,stance,Filtered & Balanced
2.5,0.7591021218708133,stance,Filtered & Balanced
2.7,0.7548362500000001,stance,Filtered & Balanced
2.9,0.6412549104189352,stance,Filtered & Balanced
3.1,0.7398165320977985,stance,Filtered & Balanced
3.3,0.7052608955223887,stance,Filtered & Balanced
3.5,0.7588883528808759,stance,Filtered & Balanced
3.7,0.5317898184771939,stance,Filtered & Balanced
3.9,0.808183846440693,stance,Filtered & Balanced
4.1,0.7643488476291614,stance,Filtered & Balanced
4.3,0.4772471142732797,stance,Filtered & Balanced
4.5,0.3906854721565871,stance,Filtered & Balanced
4.8,0.5219473275484818,stance,Filtered & Balanced
5.0,0.7062975557165836,stance,Filtered & Balanced
0.1,0.7501659603733031,synth_short,Filtered & Balanced
0.3,0.7777296331083219,synth_short,Filtered & Balanced
0.5,0.7018302202015775,synth_short,Filtered & Balanced
0.7,0.8043769900153145,synth_short,Filtered & Balanced
0.9,0.7918133559300319,synth_short,Filtered & Balanced
1.1,0.7868437548470487,synth_short,Filtered & Balanced
1.3,0.7697744149158665,synth_short,Filtered & Balanced
1.5,0.6609104023748718,synth_short,Filtered & Balanced
1.7,0.6882512140008159,synth_short,Filtered & Balanced
1.9,0.5754965727036476,synth_short,Filtered & Balanced
2.1,0.5830964197383534,synth_short,Filtered & Balanced
2.3,0.5824929742151101,synth_short,Filtered & Balanced
2.5,0.6160687238081973,synth_short,Filtered & Balanced
2.7,0.7629243327335432,synth_short,Filtered & Balanced
2.9,0.46149356494035143,synth_short,Filtered & Balanced
3.1,0.60946379184118,synth_short,Filtered & Balanced
3.3,0.5758423337658034,synth_short,Filtered & Balanced
3.5,0.4885841945999666,synth_short,Filtered & Balanced
3.7,0.32894829822841065,synth_short,Filtered & Balanced
3.9,0.42071190712505646,synth_short,Filtered & Balanced
4.1,0.2709879565966664,synth_short,Filtered & Balanced
4.3,0.41725522843209095,synth_short,Filtered & Balanced
4.5,0.4848067731268445,synth_short,Filtered & Balanced
4.8,0.356403305501784,synth_short,Filtered & Balanced
5.0,0.3556405650657646,synth_short,Filtered & Balanced
0.1,0.9577946701416672,synth,Filtered & Balanced
0.3,0.9619705995813345,synth,Filtered & Balanced
0.5,0.9273867064977351,synth,Filtered & Balanced
0.7,0.951615690083927,synth,Filtered & Balanced
0.9,0.9509315587936347,synth,Filtered & Balanced
1.1,0.950939688241224,synth,Filtered & Balanced
1.3,0.9466092076266988,synth,Filtered & Balanced
1.5,0.9319514542770735,synth,Filtered & Balanced
1.7,0.9320997730626517,synth,Filtered & Balanced
1.9,0.9300344422686696,synth,Filtered & Balanced
2.1,0.9363991998901529,synth,Filtered & Balanced
2.3,0.9164458214114474,synth,Filtered & Balanced
2.5,0.9309916300414937,synth,Filtered & Balanced
2.7,0.9174869434678731,synth,Filtered & Balanced
2.9,0.9122531945962825,synth,Filtered & Balanced
3.1,0.8948245734682199,synth,Filtered & Balanced
3.3,0.9134756358588656,synth,Filtered & Balanced
3.5,0.937892504961405,synth,Filtered & Balanced
3.7,0.8958075417423785,synth,Filtered & Balanced
3.9,0.9167158888645064,synth,Filtered & Balanced
4.1,0.8521504262969695,synth,Filtered & Balanced
4.3,0.8504473300975206,synth,Filtered & Balanced
4.5,0.9345612146414399,synth,Filtered & Balanced
4.8,0.8715200596934538,synth,Filtered & Balanced
5.0,0.935691755363685,synth,Filtered & Balanced
0.1,0.7502961844945388,tweets_pop,Filtered & Balanced
0.3,0.7557777777777779,tweets_pop,Filtered & Balanced
0.5,0.7557777777777779,tweets_pop,Filtered & Balanced
0.7,0.7495056179775281,tweets_pop,Filtered & Balanced
0.9,0.7772809589513625,tweets_pop,Filtered & Balanced
1.1,0.7585822473378696,tweets_pop,Filtered & Balanced
1.3,0.7655101102941178,tweets_pop,Filtered & Balanced
1.5,0.7255521898270858,tweets_pop,Filtered & Balanced
1.7,0.7002969043763148,tweets_pop,Filtered & Balanced
1.9,0.7340056474384833,tweets_pop,Filtered & Balanced
2.1,0.7181821151490404,tweets_pop,Filtered & Balanced
2.3,0.7528888888888889,tweets_pop,Filtered & Balanced
2.5,0.7567229102167183,tweets_pop,Filtered & Balanced
2.7,0.6510811352636252,tweets_pop,Filtered & Balanced
2.9,0.7448209366391185,tweets_pop,Filtered & Balanced
3.1,0.7840374877182376,tweets_pop,Filtered & Balanced
3.3,0.6466222587219028,tweets_pop,Filtered & Balanced
3.5,0.8927007447254247,tweets_pop,Filtered & Balanced
3.7,0.6235438625324916,tweets_pop,Filtered & Balanced
3.9,0.45991274889717504,tweets_pop,Filtered & Balanced
4.1,0.6349226666666665,tweets_pop,Filtered & Balanced
4.3,0.6581798078146874,tweets_pop,Filtered & Balanced
4.5,0.5877018401702061,tweets_pop,Filtered & Balanced
4.8,0.6037522742061854,tweets_pop,Filtered & Balanced
5.0,0.8025063489426341,tweets_pop,Filtered & Balanced
0.1,0.9288507642352084,tweets_rd,Filtered & Balanced
0.3,0.9027565011820331,tweets_rd,Filtered & Balanced
0.5,0.812364750894804,tweets_rd,Filtered & Balanced
0.7,0.8532318376068376,tweets_rd,Filtered & Balanced
0.9,0.8824457384109713,tweets_rd,Filtered & Balanced
1.1,0.8703477042670402,tweets_rd,Filtered & Balanced
1.3,0.861055,tweets_rd,Filtered & Balanced
1.5,0.8450645153331853,tweets_rd,Filtered & Balanced
1.7,0.8207883490778227,tweets_rd,Filtered & Balanced
1.9,0.7511101323349817,tweets_rd,Filtered & Balanced
2.1,0.7058781332340078,tweets_rd,Filtered & Balanced
2.3,0.6921389547469332,tweets_rd,Filtered & Balanced
2.5,0.7650800268686448,tweets_rd,Filtered & Balanced
2.7,0.7391520913564399,tweets_rd,Filtered & Balanced
2.9,0.8064391393734337,tweets_rd,Filtered & Balanced
3.1,0.766682353274196,tweets_rd,Filtered & Balanced
3.3,0.7365249651773277,tweets_rd,Filtered & Balanced
3.5,0.8365430636765105,tweets_rd,Filtered & Balanced
3.7,0.7142361863488624,tweets_rd,Filtered & Balanced
3.9,0.5878074041958712,tweets_rd,Filtered & Balanced
4.1,0.7795703784654061,tweets_rd,Filtered & Balanced
4.3,0.5657660178264514,tweets_rd,Filtered & Balanced
4.5,0.7354461886771866,tweets_rd,Filtered & Balanced
4.8,0.6513900552486185,tweets_rd,Filtered & Balanced
5.0,0.8115962135384918,tweets_rd,Filtered & Balanced
